state,district,year,suicide_count,rainfall_mm,yield_kg_ha,debt_per_farmer,msp_gap_percent,insurance_coverage_percent,crop_failure_percent,risk_level
Punjab,Warangal,2015,105,1256,3738,281492,16,71,65,High
Maharashtra,Sangrur,2018,35,584,3444,295517,6,39,8,Low
Maharashtra,Nagaur,2016,5,414,1616,33267,49,79,29,Low
Karnataka,Kurnool,2019,105,1060,1675,68756,13,28,64,High
Karnataka,Sangrur,2022,57,1277,2008,226582,36,28,23,Medium
Telangana,Bidar,2021,11,578,3264,216141,21,66,13,Low
Karnataka,Warangal,2018,179,744,4304,230968,11,32,78,High
Punjab,Yavatmal,2021,74,443,1884,156020,39,16,25,Medium
Punjab,Kurnool,2018,81,1474,2167,293206,49,57,42,Medium
Rajasthan,Yavatmal,2019,5,1486,2238,104460,47,79,18,Low
Telangana,Bidar,2016,129,1253,3539,233664,42,11,46,High
Maharashtra,Bidar,2016,91,1094,3681,244532,33,41,38,Medium
Andhra Pradesh,Bidar,2020,98,799,2680,198152,49,8,36,High
Telangana,Sangrur,2019,5,1175,2205,56790,31,78,19,Low
Rajasthan,Sangrur,2019,78,952,1753,170507,24,76,61,Medium
Karnataka,Sangrur,2019,53,647,1189,260907,29,60,33,Medium
Andhra Pradesh,Nagaur,2016,112,984,3719,264286,25,84,75,High
Telangana,Sangrur,2017,42,1764,4473,47640,18,19,31,Medium
Andhra Pradesh,Nagaur,2020,177,1582,3703,202502,15,16,74,High
Rajasthan,Warangal,2022,21,967,1372,190775,32,40,8,Low
Telangana,Warangal,2019,5,340,1739,50159,31,67,17,Low
Karnataka,Kurnool,2018,37,760,3779,112844,17,50,35,Low
Maharashtra,Sangrur,2022,38,1008,2838,159473,14,60,30,Low
Punjab,Kurnool,2019,94,1442,2015,91813,5,22,49,High
Andhra Pradesh,Yavatmal,2021,150,1540,4925,299114,31,53,77,High
Maharashtra,Bidar,2017,53,810,1384,30404,10,85,69,Medium
Rajasthan,Sangrur,2019,124,1346,4044,230244,41,78,74,High
Karnataka,Kurnool,2020,39,756,2901,51949,5,36,34,Low
Maharashtra,Yavatmal,2016,64,737,3165,124074,16,69,54,Medium
Andhra Pradesh,Nagaur,2020,5,1062,2848,45254,19,89,14,Low
Punjab,Sangrur,2021,70,1745,4775,108587,38,42,50,Medium
Maharashtra,Nagaur,2021,5,1158,3482,280875,34,55,5,Low
Maharashtra,Bidar,2016,5,1084,4579,155911,9,38,6,Low
Andhra Pradesh,Nagaur,2017,111,342,4823,75002,27,59,75,High
Telangana,Warangal,2022,88,580,4266,244879,7,31,32,Medium
Andhra Pradesh,Yavatmal,2017,5,1726,4860,141195,46,65,22,Low
Karnataka,Kurnool,2015,155,823,3393,254301,38,53,78,High
Punjab,Bidar,2016,75,548,3094,204293,34,67,48,Medium
Maharashtra,Warangal,2015,113,307,1624,248803,19,51,56,High
Maharashtra,Warangal,2021,61,377,4287,275121,49,30,14,Medium
Punjab,Nagaur,2017,126,1597,4577,118869,39,19,64,High
Telangana,Yavatmal,2021,62,1596,2254,275885,48,29,17,Medium
Telangana,Bidar,2018,72,1717,1066,112152,49,22,34,Medium
Karnataka,Warangal,2017,96,724,3660,224053,30,68,59,High
Rajasthan,Kurnool,2015,169,1612,2460,146421,10,8,75,High
Punjab,Sangrur,2021,64,1363,1228,46389,6,88,75,Medium
Rajasthan,Nagaur,2015,122,803,3021,290669,6,83,75,High
Maharashtra,Sangrur,2019,8,1623,2668,167541,30,72,19,Low
Karnataka,Warangal,2015,28,439,1558,134537,18,68,38,Low
Rajasthan,Sangrur,2021,104,1144,3026,77362,37,10,50,High
Andhra Pradesh,Yavatmal,2018,43,1197,3060,35287,6,88,65,Medium
Karnataka,Bidar,2015,111,1210,2943,127829,39,53,69,High
Maharashtra,Nagaur,2019,5,675,4530,226513,16,39,1,Low
Rajasthan,Warangal,2022,151,1672,4911,287802,45,18,60,High
Andhra Pradesh,Kurnool,2019,18,1150,4450,155501,8,46,18,Low
Rajasthan,Sangrur,2019,44,721,2888,248134,19,29,17,Medium
Maharashtra,Nagaur,2019,5,403,4110,71157,10,71,7,Low
Maharashtra,Warangal,2021,47,1612,3035,55053,43,31,36,Medium
Karnataka,Bidar,2019,107,1296,4482,243942,37,72,66,High
Andhra Pradesh,Sangrur,2016,96,1164,2141,184782,40,56,56,High
Andhra Pradesh,Kurnool,2019,66,346,3371,164828,6,31,36,Medium
Maharashtra,Sangrur,2017,5,368,2683,44153,44,42,6,Low
Maharashtra,Nagaur,2017,101,695,3265,236988,44,66,60,High
Telangana,Warangal,2018,29,1307,2347,225716,41,76,31,Low
Rajasthan,Sangrur,2019,10,1785,4367,164869,15,27,1,Low
Andhra Pradesh,Kurnool,2016,53,719,2205,130158,44,19,21,Medium
Karnataka,Kurnool,2015,5,501,4507,43224,39,67,25,Low
Rajasthan,Yavatmal,2021,68,1533,1474,167855,47,63,51,Medium
Telangana,Nagaur,2019,57,1484,3224,124270,47,26,26,Medium
Andhra Pradesh,Bidar,2021,61,1148,2107,49816,24,67,61,Medium
Karnataka,Bidar,2022,36,1464,1989,163554,23,66,32,Low
Andhra Pradesh,Kurnool,2020,209,1467,4495,250178,22,5,78,High
Maharashtra,Yavatmal,2020,64,1287,2136,56737,34,42,51,Medium
Karnataka,Kurnool,2021,54,1099,1777,213675,37,59,32,Medium
Andhra Pradesh,Bidar,2015,105,1058,2858,106218,12,58,67,High
Karnataka,Warangal,2021,5,1587,4489,103506,36,82,32,Low
Punjab,Warangal,2018,74,464,1181,151300,18,59,48,Medium
Maharashtra,Bidar,2021,64,1408,1146,197292,23,40,29,Medium
Maharashtra,Bidar,2021,178,1008,2939,246586,46,6,67,High
Telangana,Kurnool,2019,67,1233,2279,224269,13,57,44,Medium
Telangana,Yavatmal,2020,20,1687,2303,286713,34,63,14,Low
Maharashtra,Kurnool,2015,81,1682,4272,178757,47,8,26,Medium
Maharashtra,Kurnool,2017,33,1137,4217,218456,42,38,17,Low
Karnataka,Nagaur,2016,5,887,2622,78756,46,89,27,Low
Punjab,Yavatmal,2018,84,1120,1454,254137,49,21,26,Medium
Maharashtra,Warangal,2020,64,1686,4776,180322,40,30,29,Medium
Punjab,Warangal,2015,107,486,3854,258071,39,58,55,High
Rajasthan,Nagaur,2019,119,1635,2312,89129,40,24,62,High
Punjab,Yavatmal,2015,41,453,4521,162596,13,77,40,Medium
Karnataka,Bidar,2019,36,1238,2639,85337,29,43,35,Low
Maharashtra,Kurnool,2018,65,471,2458,246541,42,16,19,Medium
Telangana,Sangrur,2017,5,1116,4004,210553,16,66,8,Low
Andhra Pradesh,Nagaur,2022,47,1009,2223,176968,22,16,15,Medium
Andhra Pradesh,Yavatmal,2021,32,1611,1777,59711,11,21,23,Low
Rajasthan,Kurnool,2021,30,436,3930,234615,27,86,39,Low
Maharashtra,Sangrur,2016,117,914,2296,119613,35,28,60,High
Maharashtra,Sangrur,2019,29,1494,3983,181734,27,43,15,Low
Telangana,Kurnool,2020,102,1220,4468,188417,37,20,42,High
Rajasthan,Yavatmal,2021,42,1038,4241,155341,17,17,18,Medium
Punjab,Nagaur,2018,95,328,1957,212256,33,66,57,High
Telangana,Bidar,2016,77,1225,1920,280195,9,69,49,Medium
Andhra Pradesh,Nagaur,2022,142,623,1145,218847,5,57,79,High
Karnataka,Bidar,2022,30,1263,4211,73001,41,65,43,Low
Rajasthan,Sangrur,2020,154,525,4224,223283,12,24,63,High
Andhra Pradesh,Nagaur,2016,11,1430,1225,276584,30,45,3,Low
Andhra Pradesh,Kurnool,2020,33,1370,1726,106898,24,65,35,Low
Maharashtra,Nagaur,2015,159,515,1002,189903,39,17,73,High
Rajasthan,Kurnool,2016,31,1590,2640,272615,7,33,9,Low
Karnataka,Yavatmal,2018,12,469,1520,111121,28,83,38,Low
Punjab,Kurnool,2022,119,1213,1453,164092,32,73,77,High
Maharashtra,Kurnool,2022,33,617,3396,114082,7,60,40,Low
Punjab,Kurnool,2019,9,1612,2285,116231,23,84,40,Low
Punjab,Sangrur,2022,62,1080,1362,212828,29,57,42,Medium
Punjab,Nagaur,2018,14,306,3180,78874,49,62,31,Low
Maharashtra,Sangrur,2019,5,381,3403,156209,18,81,12,Low
Maharashtra,Kurnool,2020,104,1436,2256,193038,38,64,64,High
Punjab,Nagaur,2017,5,713,4526,59257,45,67,28,Low
Rajasthan,Kurnool,2019,108,577,2219,233667,36,72,64,High
Telangana,Nagaur,2015,73,1185,3752,283973,30,86,50,Medium
Andhra Pradesh,Warangal,2018,83,1062,2250,182499,16,11,29,Medium
Karnataka,Nagaur,2021,5,378,4999,123106,15,62,26,Low
Rajasthan,Yavatmal,2019,10,815,3000,119186,17,43,15,Low
Telangana,Yavatmal,2021,5,1273,4155,82930,21,60,21,Low
Andhra Pradesh,Sangrur,2018,77,1776,2410,297770,5,62,38,Medium
Maharashtra,Kurnool,2017,5,1308,1792,56385,19,84,27,Low
Telangana,Nagaur,2015,106,1632,1519,235390,31,50,50,High
Punjab,Kurnool,2022,158,992,2559,176323,19,29,78,High
Karnataka,Nagaur,2018,158,820,2701,104744,26,6,72,High
Andhra Pradesh,Bidar,2022,60,573,3013,191087,22,42,32,Medium
Andhra Pradesh,Bidar,2015,75,401,4496,211002,26,55,41,Medium
Telangana,Bidar,2020,95,1786,1591,272997,26,24,33,High
Maharashtra,Warangal,2015,167,301,3272,206076,34,37,77,High
Maharashtra,Nagaur,2021,7,493,4237,184470,30,50,15,Low
Maharashtra,Warangal,2015,34,616,2986,245048,10,77,32,Low
Maharashtra,Warangal,2022,5,1641,2107,54826,11,79,4,Low
Maharashtra,Nagaur,2016,175,1194,1514,182360,46,18,75,High
Rajasthan,Warangal,2021,50,1208,2560,113186,23,59,45,Medium
Andhra Pradesh,Kurnool,2021,20,587,1306,250971,22,74,18,Low
Rajasthan,Kurnool,2022,51,611,3920,275378,32,78,35,Medium
Karnataka,Warangal,2015,60,1161,2748,89321,28,24,37,Medium
Telangana,Warangal,2020,155,831,1955,296847,45,40,66,High
Maharashtra,Warangal,2020,67,594,1754,206313,16,7,18,Medium
Andhra Pradesh,Bidar,2017,82,1093,4591,187795,34,46,44,Medium
Rajasthan,Yavatmal,2021,124,592,3884,206037,49,45,62,High
Rajasthan,Bidar,2018,118,429,4814,131520,29,32,66,High
Andhra Pradesh,Kurnool,2021,19,1772,2447,91367,40,49,23,Low
Punjab,Yavatmal,2017,5,929,1269,232332,14,80,1,Low
Telangana,Sangrur,2018,94,812,3360,243567,24,32,37,High
Andhra Pradesh,Warangal,2019,5,604,4568,56155,32,83,6,Low
Punjab,Kurnool,2018,63,633,4713,227576,41,24,26,Medium
Punjab,Nagaur,2019,69,1382,3884,190928,18,16,20,Medium
Punjab,Sangrur,2020,68,516,4377,176470,35,60,43,Medium
Telangana,Nagaur,2018,69,450,3431,134061,49,56,50,Medium
Telangana,Yavatmal,2019,112,428,2014,184268,36,9,47,High
Karnataka,Yavatmal,2017,5,1737,3161,58625,21,30,8,Low
Karnataka,Warangal,2017,24,644,1813,131376,23,35,14,Low
Andhra Pradesh,Bidar,2016,60,1543,2009,35704,37,45,48,Medium
Karnataka,Kurnool,2019,160,1482,1488,262549,8,23,70,High
Maharashtra,Kurnool,2015,108,1602,1850,47772,15,5,54,High
Karnataka,Kurnool,2021,55,1388,4147,264182,19,25,19,Medium
Karnataka,Bidar,2017,106,401,3009,139834,39,76,78,High
Maharashtra,Nagaur,2015,126,1326,3132,255049,12,52,66,High
Telangana,Kurnool,2019,20,1477,1664,111889,41,83,44,Low
Punjab,Nagaur,2020,114,797,3411,219420,25,27,47,High
Karnataka,Warangal,2017,27,350,4854,75379,25,17,19,Low
Rajasthan,Kurnool,2018,65,1307,1372,253725,31,33,28,Medium
Maharashtra,Warangal,2020,5,301,3636,261513,29,79,7,Low
Maharashtra,Kurnool,2021,71,1258,3359,251097,46,60,36,Medium
Telangana,Nagaur,2021,5,1708,2195,72668,46,51,13,Low
Maharashtra,Bidar,2021,5,309,1983,106153,46,76,24,Low
Karnataka,Yavatmal,2017,121,1616,2603,140641,28,23,60,High
Maharashtra,Bidar,2016,128,1214,4747,226553,37,59,69,High
Karnataka,Sangrur,2018,41,1549,1672,79104,26,52,37,Medium
Punjab,Warangal,2021,80,1483,2546,87993,13,82,77,Medium
Punjab,Kurnool,2016,126,1697,3684,156888,15,28,60,High
Punjab,Warangal,2016,36,1425,3601,61007,43,40,36,Low
Karnataka,Bidar,2017,5,1393,3472,146492,6,64,5,Low
Punjab,Kurnool,2022,93,1553,2735,104069,10,6,44,High
Rajasthan,Bidar,2017,36,653,2494,161733,48,62,36,Low
Andhra Pradesh,Kurnool,2021,57,1626,2016,292351,46,66,30,Medium
Telangana,Bidar,2022,44,1279,3562,261055,34,27,5,Medium
Telangana,Bidar,2015,148,585,1148,174467,10,26,72,High
Karnataka,Kurnool,2022,51,759,4621,39715,38,18,36,Medium
Maharashtra,Kurnool,2016,66,660,1340,65585,31,77,65,Medium
Punjab,Warangal,2020,5,1730,2689,66035,22,59,6,Low
Rajasthan,Sangrur,2021,131,641,2339,251427,46,16,49,High
Rajasthan,Yavatmal,2019,5,1481,4287,75033,34,82,6,Low
Telangana,Nagaur,2015,130,698,2428,298865,31,6,35,High
Rajasthan,Warangal,2016,126,565,2560,59984,40,18,65,High
Rajasthan,Nagaur,2019,81,1759,3946,196370,45,10,25,Medium
Andhra Pradesh,Yavatmal,2022,64,1216,4041,47347,29,83,68,Medium
Telangana,Warangal,2022,181,427,4679,255371,17,35,78,High
Maharashtra,Kurnool,2018,5,746,1389,90545,27,87,31,Low
Andhra Pradesh,Sangrur,2016,68,1077,3392,280497,15,54,31,Medium
Karnataka,Sangrur,2015,5,1422,1148,232056,32,66,7,Low
Telangana,Bidar,2018,97,1084,3148,229900,40,42,50,High
Telangana,Nagaur,2022,117,782,3566,129853,11,9,55,High
Rajasthan,Sangrur,2019,144,545,1741,234366,25,14,58,High
Andhra Pradesh,Bidar,2019,54,512,3009,143132,25,57,45,Medium
Karnataka,Sangrur,2015,80,999,3442,165870,25,56,55,Medium
Maharashtra,Warangal,2022,17,893,1743,102930,45,56,29,Low
Maharashtra,Kurnool,2016,75,696,3672,83352,21,13,41,Medium
Maharashtra,Warangal,2022,81,328,2120,250169,44,25,28,Medium
Maharashtra,Sangrur,2020,76,499,3992,210302,21,64,45,Medium
Andhra Pradesh,Warangal,2015,5,386,3148,231548,12,47,1,Low
Punjab,Sangrur,2022,38,1340,2668,177603,25,62,31,Low
Telangana,Sangrur,2018,86,698,2234,155426,32,55,58,Medium
Andhra Pradesh,Nagaur,2020,5,1675,3567,166511,14,42,8,Low
Karnataka,Bidar,2016,132,762,3993,252146,40,72,78,High
Karnataka,Bidar,2016,107,418,1189,299054,14,25,36,High
Punjab,Yavatmal,2020,48,1080,2716,69071,35,20,32,Medium
Punjab,Yavatmal,2021,115,572,1935,119489,13,29,59,High
Telangana,Yavatmal,2015,110,1089,3461,207876,48,36,51,High
Karnataka,Kurnool,2017,115,421,2567,150029,43,16,47,High
Andhra Pradesh,Kurnool,2020,61,960,4709,128605,44,11,23,Medium
Punjab,Nagaur,2020,14,534,2368,73541,32,33,13,Low
Maharashtra,Kurnool,2019,5,762,3483,185930,35,83,23,Low
Andhra Pradesh,Nagaur,2017,5,720,2724,96912,7,67,19,Low
Telangana,Bidar,2022,5,1552,2134,71321,20,76,1,Low
Andhra Pradesh,Sangrur,2015,41,1427,2506,51727,46,14,21,Medium
Punjab,Sangrur,2016,76,1236,3159,147235,40,62,54,Medium
Karnataka,Nagaur,2020,5,1741,4508,119464,24,79,16,Low
Rajasthan,Sangrur,2019,5,997,3179,39596,8,24,10,Low
Maharashtra,Kurnool,2020,176,1792,1821,294167,43,25,74,High
Rajasthan,Warangal,2018,5,1380,1940,98099,33,18,3,Low
Maharashtra,Warangal,2018,56,1065,3583,46029,22,23,31,Medium
Karnataka,Nagaur,2017,91,705,1663,72092,16,34,58,Medium
Andhra Pradesh,Warangal,2022,89,318,1431,242652,40,59,55,Medium
Maharashtra,Warangal,2015,46,1062,1475,272634,49,37,17,Medium
Telangana,Warangal,2022,5,1370,3010,191326,18,79,9,Low
Andhra Pradesh,Bidar,2018,51,437,3097,76850,17,74,51,Medium
Maharashtra,Sangrur,2020,27,1221,1580,92812,41,88,49,Low
Andhra Pradesh,Warangal,2020,5,1583,1637,176150,43,39,1,Low
Rajasthan,Bidar,2020,5,985,2851,37531,35,88,24,Low
Andhra Pradesh,Nagaur,2022,96,1175,1617,170629,32,11,35,High
Maharashtra,Nagaur,2021,119,504,1581,281435,13,49,56,High
Telangana,Yavatmal,2016,142,1174,2464,47073,37,11,70,High
Maharashtra,Sangrur,2018,113,1795,4726,268511,11,25,42,High
Rajasthan,Bidar,2019,130,613,3068,289153,9,7,37,High
Punjab,Sangrur,2015,78,1152,1383,111912,45,37,50,Medium
Maharashtra,Bidar,2021,143,897,4062,294480,21,28,61,High
Telangana,Yavatmal,2017,72,722,4669,75232,21,74,70,Medium
Karnataka,Yavatmal,2019,5,321,4183,141672,6,78,16,Low
Punjab,Kurnool,2021,97,1409,1587,104071,44,42,60,High
Punjab,Sangrur,2021,61,860,1959,269647,11,25,20,Medium
Rajasthan,Warangal,2020,59,675,3791,126468,19,18,27,Medium
Maharashtra,Warangal,2016,164,1180,1446,130417,29,7,72,High
Karnataka,Yavatmal,2018,81,526,1773,209635,27,54,43,Medium
Andhra Pradesh,Sangrur,2017,65,803,3315,91001,12,28,41,Medium
Andhra Pradesh,Kurnool,2022,47,866,1904,201918,44,86,42,Medium
Rajasthan,Warangal,2016,61,1074,1847,36530,49,7,27,Medium
Punjab,Nagaur,2015,116,519,4200,280870,12,36,48,High
Andhra Pradesh,Warangal,2020,70,1265,3413,298050,36,13,12,Medium
Rajasthan,Bidar,2021,72,1432,2910,149052,38,8,28,Medium
Maharashtra,Sangrur,2021,5,430,3400,185289,9,65,9,Low
Rajasthan,Yavatmal,2020,47,510,4643,111835,15,70,47,Medium
Telangana,Bidar,2019,5,1549,1981,39346,16,34,21,Low
Andhra Pradesh,Sangrur,2018,139,845,1040,233058,22,62,75,High
Rajasthan,Bidar,2019,129,919,2674,219139,20,38,66,High
Telangana,Nagaur,2015,70,423,3048,51447,27,67,67,Medium
Maharashtra,Bidar,2021,74,442,4262,132932,39,61,53,Medium
Telangana,Nagaur,2018,109,759,4472,128696,39,81,79,High
Punjab,Bidar,2020,48,1574,3266,97990,31,50,38,Medium
Telangana,Kurnool,2022,6,1001,4618,207810,34,82,25,Low
Rajasthan,Yavatmal,2020,5,961,2967,230696,23,55,3,Low
Punjab,Bidar,2018,128,1279,3220,209526,18,67,73,High
Telangana,Nagaur,2022,62,1233,2460,240748,40,44,30,Medium
Karnataka,Warangal,2015,118,1526,1820,172312,18,45,68,High
Telangana,Yavatmal,2015,67,1450,2278,65292,34,16,35,Medium
Rajasthan,Yavatmal,2019,30,960,2348,74900,7,48,33,Low
Andhra Pradesh,Bidar,2018,99,1358,1976,89871,5,12,45,High
Telangana,Nagaur,2018,55,473,3606,157795,33,26,21,Medium
Rajasthan,Warangal,2015,12,478,1131,179302,11,32,4,Low
Andhra Pradesh,Sangrur,2020,17,493,3007,203824,12,42,6,Low
Karnataka,Kurnool,2018,78,561,1729,165450,12,87,65,Medium
Karnataka,Sangrur,2022,83,441,2314,217116,24,60,49,Medium
Andhra Pradesh,Nagaur,2015,105,1625,1880,255683,37,43,49,High
Punjab,Nagaur,2020,68,532,2800,166535,41,53,41,Medium
Andhra Pradesh,Sangrur,2017,5,482,4112,52054,17,68,11,Low
Punjab,Sangrur,2019,37,426,4629,213852,5,44,19,Low
Andhra Pradesh,Kurnool,2019,131,1591,3492,229919,37,49,69,High
Karnataka,Sangrur,2020,89,1666,4741,196892,27,53,47,Medium
Maharashtra,Yavatmal,2016,15,1647,1989,295888,40,86,19,Low
Telangana,Warangal,2015,61,631,4449,185378,19,45,39,Medium
Andhra Pradesh,Bidar,2016,55,749,2842,171130,17,14,14,Medium
Punjab,Nagaur,2015,84,1700,4622,207691,7,88,70,Medium
Andhra Pradesh,Nagaur,2017,148,1673,3343,279768,16,39,65,High
Maharashtra,Kurnool,2019,45,873,1048,149006,29,27,24,Medium
Telangana,Kurnool,2020,139,1430,2681,261496,42,34,60,High
Maharashtra,Sangrur,2017,5,1479,4243,69758,45,67,23,Low
Punjab,Yavatmal,2017,72,1441,2635,158379,37,28,39,Medium
Telangana,Kurnool,2021,84,1519,3468,254448,24,23,29,Medium
Telangana,Yavatmal,2018,103,1742,2450,74014,35,15,49,High
Rajasthan,Kurnool,2022,10,1229,4759,121575,16,69,31,Low
Karnataka,Kurnool,2016,40,1136,3973,180871,7,79,45,Low
Maharashtra,Sangrur,2020,13,662,3495,238434,10,63,15,Low
Andhra Pradesh,Yavatmal,2019,140,469,1123,38036,39,10,68,High
Telangana,Bidar,2015,156,1096,1076,261312,49,26,68,High
Andhra Pradesh,Bidar,2015,8,973,1364,291973,27,55,3,Low
Maharashtra,Kurnool,2017,69,1061,4568,30340,48,25,44,Medium
Telangana,Sangrur,2015,106,1603,4708,67772,38,15,51,High
Punjab,Warangal,2016,88,403,2237,207912,28,23,37,Medium
Andhra Pradesh,Warangal,2019,9,956,3660,269779,23,68,11,Low
Telangana,Nagaur,2019,5,694,2510,37684,21,60,20,Low
Rajasthan,Yavatmal,2018,109,1182,3194,160351,48,56,70,High
Rajasthan,Sangrur,2015,79,1539,3454,212170,15,68,51,Medium
Punjab,Yavatmal,2018,62,1071,1902,214482,13,76,45,Medium
Karnataka,Bidar,2015,55,1139,3194,70510,42,71,59,Medium
Andhra Pradesh,Nagaur,2019,77,586,3767,129441,36,26,43,Medium
Rajasthan,Yavatmal,2016,108,619,1125,292420,20,80,66,High
Punjab,Nagaur,2015,129,1626,4234,107842,12,30,71,High
Punjab,Bidar,2018,50,324,2572,286910,41,17,8,Medium
Telangana,Bidar,2021,17,556,4747,176110,44,27,9,Low
Rajasthan,Nagaur,2022,159,1583,1413,279415,7,18,60,High
Andhra Pradesh,Yavatmal,2019,63,382,2146,235157,20,70,40,Medium
Maharashtra,Yavatmal,2018,152,1681,4259,265841,6,17,56,High
Telangana,Yavatmal,2021,26,1774,3951,178694,18,59,27,Low
Andhra Pradesh,Bidar,2015,25,1556,2693,152258,23,61,25,Low
Rajasthan,Yavatmal,2016,96,1779,2589,55235,36,18,50,High
Telangana,Kurnool,2022,88,1146,2045,272717,8,81,59,Medium
Maharashtra,Warangal,2021,125,1613,1849,234535,38,79,76,High
Karnataka,Bidar,2016,100,1477,2809,229775,26,42,50,High
Karnataka,Nagaur,2019,38,1239,1888,264104,5,23,9,Low
Telangana,Warangal,2018,124,1210,1818,121218,10,60,76,High
Andhra Pradesh,Bidar,2016,97,770,3265,261324,37,64,55,High
Andhra Pradesh,Kurnool,2017,169,1336,2124,251035,15,21,68,High
Karnataka,Nagaur,2015,108,832,4923,297986,16,41,42,High
Andhra Pradesh,Nagaur,2022,77,1170,3587,96914,22,82,71,Medium
Andhra Pradesh,Yavatmal,2019,7,696,2123,56654,6,20,9,Low
Rajasthan,Sangrur,2020,59,1251,3005,212240,40,49,34,Medium
Telangana,Yavatmal,2017,83,1351,3373,275739,48,25,28,Medium
Rajasthan,Nagaur,2015,157,655,4604,270891,47,17,57,High
Rajasthan,Nagaur,2016,5,864,2067,87134,14,50,13,Low
Rajasthan,Yavatmal,2020,76,1167,1397,243666,29,7,17,Medium
Rajasthan,Warangal,2022,24,840,1170,162473,30,69,28,Low
Karnataka,Warangal,2016,22,474,4805,278552,38,41,6,Low
Andhra Pradesh,Bidar,2015,77,354,3566,91240,16,20,43,Medium
Andhra Pradesh,Warangal,2021,13,606,1456,34426,12,76,45,Low
Punjab,Kurnool,2015,101,456,3657,117265,32,81,79,High
Maharashtra,Warangal,2016,65,1427,1392,128934,9,60,50,Medium
Telangana,Nagaur,2015,46,1413,4563,269977,30,29,10,Medium
Punjab,Sangrur,2019,165,755,4431,239987,35,32,75,High
Karnataka,Bidar,2021,18,863,4173,53989,35,50,26,Low
Maharashtra,Kurnool,2018,26,660,3506,65063,37,54,38,Low
Andhra Pradesh,Yavatmal,2019,134,752,4461,225877,26,66,78,High
